move_name,filename,move_duration_frames,package,category,is_neutral,is_mirror,move_soma_uniform_path,move_soma_uniform_shape_path,move_soma_proportional_path,move_soma_proportional_shape_path,move_g1_path,take_name,take_actor,take_org_name,take_date,take_day_part,content_name,content_natural_desc_1,content_natural_desc_2,content_natural_desc_3,content_natural_desc_4,content_technical_description,content_short_description,content_short_description_2,content_all_rigplay_styles,content_uniform_style,content_type_of_movement,content_body_position,content_horizontal_move,content_vertical_move,content_props,content_complex_action,content_repeated_action,actor_uid,actor_height,actor_height_cm,actor_foot_cm,actor_collarbone_height_cm,actor_collarbone_span_cm,actor_elbow_span_cm,actor_wrist_span_cm,actor_shoulder_span_cm,actor_hips_height_cm,actor_hips_bones_span_cm,actor_knee_height_cm,actor_ankle_height_cm,actor_weight_kg,actor_age_yr,actor_gender,actor_profession
on_all_fours_360_start_R_001__A035,mohak_backward_start_001__A035,873,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_backward_start_001__A035.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_backward_start_001__A035.bvh,soma_shapes/soma_proportion_fit_mhr_params/A035.npz,g1/csv/220721/mohak_backward_start_001__A035.csv,on_all_fours_360_start_R_001,A035,mohak_backward_start_001,220721,_1,on_all_fours_360_start_R,someone moving backwards while grounded on hands and knees,move backwards on hands and knees,person starts to crawl backwards on all fours,A person in a crawling position begins to move backward using their knees and hands.,"start right foot left hand adding, move backward, on hands and knees backward",the person is in a position on all fours and begins to move backward on knees and hands,on all fours 360 start,neutral,neutral,on hands and knees,"standing, on all fours",1,1,0,0,0,A035,T,198,30,168,38,106,160,200,113,33,59,12,145,43,M,general
on_all_fours_turn_000_001__A034,mohak_turn_000_001__A034,570,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_turn_000_001__A034.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_turn_000_001__A034.bvh,soma_shapes/soma_proportion_fit_mhr_params/A034.npz,g1/csv/220721/mohak_turn_000_001__A034.csv,on_all_fours_turn_000_001,A034,mohak_turn_000_001,220721,_1,on_all_fours_turn_000,"character, on all fours, turns left","while on all fours, person makes a turn to the left using their hands",character turns left on all fours,A person on all fours quickly turns to the right.,"on hands and knees, start right left, turn left 180 degrees over left shoulder,",turning on all fours to the left,on all fours turn 000,neutral,neutral,"on hands and knees, turning",on all fours,0,0,0,0,0,A034,T,183,26,155,37,99,148,182,108,31,54,9,96,27,F,general
crouch_ff_loop_180_R_103__A125,crouch_ff_loop_180_R_103__A125,684,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230119/crouch_ff_loop_180_R_103__A125.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/crouch_ff_loop_180_R_103__A125.bvh,soma_shapes/soma_proportion_fit_mhr_params/A125.npz,g1/csv/230119/crouch_ff_loop_180_R_103__A125.csv,crouch_ff_loop_180_R_103,A125,crouch_ff_loop_180_R_103,230119,_3,crouch_ff_loop_180_R,person crouches and progresses forward,an entity faces forward while crouching and walking,person crouching advances carefully forwards,A person maintains a crouched posture and walks slowly and steadily while facing forward.,"move forward, talent crouching, walking in crouch",crouching facing forward,crouch ff loop 180,neutral,neutral,walking,crouching,1,1,0,0,0,A125,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
crouch_idle_to_crouch_idle_right_R_002__A248,crouch_idle_to_crouch_idle_right_R_002__A248,470,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230306/crouch_idle_to_crouch_idle_right_R_002__A248.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230306/crouch_idle_to_crouch_idle_right_R_002__A248.bvh,soma_shapes/soma_proportion_fit_mhr_params/A248.npz,g1/csv/230306/crouch_idle_to_crouch_idle_right_R_002__A248.csv,crouch_idle_to_crouch_idle_right_R_002,A248,crouch_idle_to_crouch_idle_right_R_002,230306,_1,crouch_idle_to_crouch_idle_right_R,"the individual moves from a standing position into a crouch, right foot slightly ahead",transitioning from a neutral stance to a slightly forward crouch,transitioning from an open stance to a crouch with right foot slightly forward,A person places the right leg forward while in a crouching position.,"from open position to right foot slightly forward, talent crouching",from crouching position to crouching position with right leg forward,crouch idle to crouch idle right,neutral,neutral,transition,crouching,0,0,0,0,0,A248,M,166,23,141,29,90,130,163,96,29,50,9,52,29,F,actor
bump_into_small_obstacle_stop_walk_look_back_180_R_001__A460,bump_into_small_obstacle_stop_walk_look_back_180_R_001__A460,843,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/231005/bump_into_small_obstacle_stop_walk_look_back_180_R_001__A460.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/231005/bump_into_small_obstacle_stop_walk_look_back_180_R_001__A460.bvh,soma_shapes/soma_proportion_fit_mhr_params/A460.npz,g1/csv/231005/bump_into_small_obstacle_stop_walk_look_back_180_R_001__A460.csv,bump_into_small_obstacle_stop_walk_look_back_180_R_001,A460,bump_into_small_obstacle_stop_walk_look_back_180_R_001,231005,_2,bump_into_small_obstacle_stop_walk_look_back_180_R,character bumps into small obstacle while walking forward and stops and then looks back,"person bumps into a small obstacle while walking forward, stops, looks back, and continues walking","character accidentally comes into contact with a small obstacle while walking forward, leading them to stop briefly and then look back","A person facing right back diagonally bumps into a small obstacle while walking forward, causing them to stop.","bumping into small obstacle while walking forward, looking back over right shoulder, then stop",bumps into small obstacle while walking forward and stops and then looks back,bump into small obstacle stop walk look back 180,neutral,neutral,walking,standing,1,0,small obstacle,1,0,A460,M,166,24,135,23,86,130,160,100,24,45,9,50,30,F,actor
crouch_ff_start_360_R_001__A149,crouch_ff_start_360_001__A149,473,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230125/crouch_ff_start_360_001__A149.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230125/crouch_ff_start_360_001__A149.bvh,soma_shapes/soma_proportion_fit_mhr_params/A149.npz,g1/csv/230125/crouch_ff_start_360_001__A149.csv,crouch_ff_start_360_R_001,A149,crouch_ff_start_360_001,230125,_2,crouch_ff_start_360_R,person moves backward while beginning to crouch,"person starts to crouch backward, beginning with their right foot","person starts to move backwards starting with the right foot, all while maintaining a crouched position",A person is steadily walking backwards in a fully crouched position.,"start right foot, move backward, talent crouching, walking in crouch",beginning to crouch back over right shoulder,crouch ff start 360,neutral,neutral,walking,crouching,1,1,0,0,0,A149,M,177,28,146,37,100,142,180,98,29,52,10,82,25,M,actor
on_all_fours_360_stop_R_002__A031,mohak_backward_stop_002__A031,980,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220720/mohak_backward_stop_002__A031.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220720/mohak_backward_stop_002__A031.bvh,soma_shapes/soma_proportion_fit_mhr_params/A031.npz,g1/csv/220720/mohak_backward_stop_002__A031.csv,on_all_fours_360_stop_R_002,A031,mohak_backward_stop_002,220720,_1,on_all_fours_360_stop_R,"individual moves backwards using their hands and knees, then stops",character moves backward on their hands and knees,"person moves backward on their hands and knees, then stops in the same body position",A person is standing on all fours and starts to crawl in the backward direction. Then the person stops crawling and stands again.,"end left foot right hand adding, move backward, on hands and knees backward",person moves backward on all fours and stop in the same body position,on all fours 360 stop,neutral,neutral,on hands and knees,"on all fours, standing",1,1,0,0,0,A031,T,192,30,157,37,101,149,189,105,28,56,10,85,22,M,general
bump_into_small_obstacle_swear_stop_walk_look_back_360_R_001__A462,bump_into_small_obstacle_swear_stop_walk_look_back_360_R_001__A462,1072,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/231005/bump_into_small_obstacle_swear_stop_walk_look_back_360_R_001__A462.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/231005/bump_into_small_obstacle_swear_stop_walk_look_back_360_R_001__A462.bvh,soma_shapes/soma_proportion_fit_mhr_params/A462.npz,g1/csv/231005/bump_into_small_obstacle_swear_stop_walk_look_back_360_R_001__A462.csv,bump_into_small_obstacle_swear_stop_walk_look_back_360_R_001,A462,bump_into_small_obstacle_swear_stop_walk_look_back_360_R_001,231005,_2,bump_into_small_obstacle_swear_stop_walk_look_back_360_R,character bumps into small obstacle while walking backwards and stops and swears and then looks back,"person bumps into a small obstacle while walking backwards, stops, swears, looks back, and continues walking","while walking backwards, character unintentionally bumps into a small obstacle, comes to a stop, curses in frustration, looks back, and continues walking","The person bumps into an obstacle while walking backward diagonally to the back right, then stops, turns back, and raises their hands before turning diagonally to the left again.","bumping into small obstacle while walking backwards, looking back over right shoulder, swear at it, then stop",bumps into small obstacle while walking backwards and stops and swears and then looks back,bump into small obstacle swear stop walk look back 360,neutral,neutral,walking,standing,1,0,small obstacle,1,0,A462,M,180,29,148,39,98,140,179,101,31,52,10,80,28,M,actor
on_all_fours_180_loop_R_102__A036,mohak_forward_loop_002__A036,1166,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_forward_loop_002__A036.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_forward_loop_002__A036.bvh,soma_shapes/soma_proportion_fit_mhr_params/A036.npz,g1/csv/220721/mohak_forward_loop_002__A036.csv,on_all_fours_180_loop_R_102,A036,mohak_forward_loop_002,220721,_1,on_all_fours_180_loop_R,individual crawls forward on hands and knees,the actor is moving forward on their hands and knees,the individual moves forward while on all fours,A person begins to move forward on all fours.,"move forward, on hands and knees forward",the person is moving in a position on all fours,on all fours 180 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A036,S,150,21,122,22,80,118,146,83,25,42,7,50,27,F,general
crouch_ff_start_225_R_002__A147,crouch_ff_start_225_002__A147,520,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230125/crouch_ff_start_225_002__A147.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230125/crouch_ff_start_225_002__A147.bvh,soma_shapes/soma_proportion_fit_mhr_params/A147.npz,g1/csv/230125/crouch_ff_start_225_002__A147.csv,crouch_ff_start_225_R_002,A147,crouch_ff_start_225_002,230125,_2,crouch_ff_start_225_R,start to walk forward diagonally to the right in a crouched position,person starts crouching forward diagonally to the right,start crouching while walking diagonally forward right,A person in a crouched position steadily walks to the right diagonal with arms swaying inward.,"start right foot, move forward diagonally, left foot front crossing, talent crouching, walking in crouch",beginning to crouch forward diagonally to the right,crouch ff start 225,neutral,neutral,walking,crouching,1,1,0,0,0,A147,M,183,28,150,30,92,143,182,100,31,57,10,84,26,M,actor
h_b_w_stand_to_crouch_270_stop_001__A343,h_b_w_stand_to_crouch_270_stop_001__A343,416,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230420/h_b_w_stand_to_crouch_270_stop_001__A343.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230420/h_b_w_stand_to_crouch_270_stop_001__A343.bvh,soma_shapes/soma_proportion_fit_mhr_params/A343.npz,g1/csv/230420/h_b_w_stand_to_crouch_270_stop_001__A343.csv,h_b_w_stand_to_crouch_270_stop_001,A343,h_b_w_stand_to_crouch_270_stop_001,230420,_3,h_b_w_stand_to_crouch_270_stop,character transitions from hiding behind a wall in a crouching position to standing straight,person transitions from a crouching position behind a wall to standing up,person crouching behind a wall to standing upright while supporting with hands,"A person crouched down quickly turns around to their right in an arc to stand straight, facing the right back diagonal.","from hiding behind wall crouching to position standing, hide behind wall, standing to crouching",end from standing to crouching while supporting with hand,h b w stand to crouch 270 stop,neutral,neutral,"walking, crouching, transition","standing, leaning, crouching",1,1,wall,0,0,A343,M,181,29,152,35,99,145,188,103,29,58,10,73,25,M,actor
bump_into_small_obstacle_stop_walk_look_right_360_R_001__A462,bump_into_small_obstacle_stop_walk_look_right_360_R_001__A462,878,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/231005/bump_into_small_obstacle_stop_walk_look_right_360_R_001__A462.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/231005/bump_into_small_obstacle_stop_walk_look_right_360_R_001__A462.bvh,soma_shapes/soma_proportion_fit_mhr_params/A462.npz,g1/csv/231005/bump_into_small_obstacle_stop_walk_look_right_360_R_001__A462.csv,bump_into_small_obstacle_stop_walk_look_right_360_R_001,A462,bump_into_small_obstacle_stop_walk_look_right_360_R_001,231005,_2,bump_into_small_obstacle_stop_walk_look_right_360_R,character bumps into small obstacle while walking backwards and stops and then looks right,"person bumps into a small obstacle while walking backwards, stops, looks right, and continues walking","moving backwards, character accidentally bumps into a small obstacle, prompting them to stop and briefly look to the right","A person walking backward bumps into a small obstacle, leans backward with swaying arms and stops. They then look towards the right.","bumping into small obstacle while walking backwards, looking to the right, then stop",bumps into small obstacle while walking backwards and stops and then looks right,bump into small obstacle stop walk look right 360,neutral,neutral,walking,standing,1,0,small obstacle,1,0,A462,M,180,29,148,39,98,140,179,101,31,52,10,80,28,M,actor
h_b_w_crouch_270_loop_001__A548,h_b_w_crouch_270_loop_001__A548,1179,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/240918/h_b_w_crouch_270_loop_001__A548.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/240918/h_b_w_crouch_270_loop_001__A548.bvh,soma_shapes/soma_proportion_fit_mhr_params/A548.npz,g1/csv/240918/h_b_w_crouch_270_loop_001__A548.csv,h_b_w_crouch_270_loop_001,A548,h_b_w_crouch_270_loop_001,240918,_2,h_b_w_crouch_270_loop,person is crouching while supporting their hand on the wall,character crouches and supports themselves with their hand while hiding behind a wall,"maintain a right-side-to-wall, crouched posture as if hiding behind a wall","A cautious, crouching person sways in place while standing and supporting themself with their arm.","position hiding behind wall, right side to wall, hide behind wall, crouching",crouching while supporting with hand,h b w crouch 270 loop,neutral,neutral,crouching,"crouching, leaning",0,0,wall,0,0,A548,M,171,28,138,29,93,132,175,98,27,50,12,62,29,F,actor
on_all_fours_360_loop_R_003__A203,on_all_fours_backward_loop_R_003__A203,1274,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230216/on_all_fours_backward_loop_R_003__A203.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230216/on_all_fours_backward_loop_R_003__A203.bvh,soma_shapes/soma_proportion_fit_mhr_params/A203.npz,g1/csv/230216/on_all_fours_backward_loop_R_003__A203.csv,on_all_fours_360_loop_R_003,A203,on_all_fours_backward_loop_R_003,230216,_2,on_all_fours_360_loop_R,person moves backward while on their hands and knees,individual moves backwards while being on their hands and knees,"move backward on all fours, with hands and knees on the ground",The person in an all-fours position steadily moves backward and then comes to a halt.,"move backward, on hands and knees backward",the person is moving backward in a position on all fours,on all fours 360 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A203,M,168,25,139,31,90,129,166,98,28,49,9,57,23,F,actor
on_all_fours_180_loop_R_002__A125,mohak_forward_loop_002__A125,1409,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230119/mohak_forward_loop_002__A125.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/mohak_forward_loop_002__A125.bvh,soma_shapes/soma_proportion_fit_mhr_params/A125.npz,g1/csv/230119/mohak_forward_loop_002__A125.csv,on_all_fours_180_loop_R_002,A125,mohak_forward_loop_002,230119,_2,on_all_fours_180_loop_R,individual crawls forward on hands and knees,the actor is moving forward on their hands and knees,the individual moves forward while on all fours,A person is crawling forward on the ground on all fours.,"move forward, on hands and knees forward",the person is moving in a position on all fours,on all fours 180 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A125,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
crouch_ff_start_180_R_003__A247,crouch_ff_start_180_R_003__A247,916,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230306/crouch_ff_start_180_R_003__A247.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230306/crouch_ff_start_180_R_003__A247.bvh,soma_shapes/soma_proportion_fit_mhr_params/A247.npz,g1/csv/230306/crouch_ff_start_180_R_003__A247.csv,crouch_ff_start_180_R_003,A247,crouch_ff_start_180_R_003,230306,_1,crouch_ff_start_180_R,someone starts to move forward while crouching,person starts to move forward in a crouched position,"individual, starting with their right foot forward, starts to walk, crouching down",A crouched person starts to walk forward at a slow pace.,"start right foot, move forward, talent crouching, walking in crouch",beginning to crouch facing forward,crouch ff start 180,neutral,neutral,walking,crouching,1,1,0,0,0,A247,M,173,21,146,29,90,128,168,102,27,51,10,49,25,F,actor
on_all_fours_turn_360_R_003__A202,on_all_fours_turn_360_R_003__A202,834,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230216/on_all_fours_turn_360_R_003__A202.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230216/on_all_fours_turn_360_R_003__A202.bvh,soma_shapes/soma_proportion_fit_mhr_params/A202.npz,g1/csv/230216/on_all_fours_turn_360_R_003__A202.csv,on_all_fours_turn_360_R_003,A202,on_all_fours_turn_360_R_003,230216,_2,on_all_fours_turn_360_R,turn around 180 degrees on your hands and knees,person turns to the right while on hands and knees,person turns to the right on all fours over their right shoulder,A person hunched down in a crawling posture with both arms and knees grounded turns to the right.,"start right foot and right hand, turn 180 degrees over right shoulder, on hands and knees",turning on all fours to the right,on all fours turn 360,neutral,neutral,"on hands and knees, turning",on all fours,0,0,0,0,0,A202,T,187,27,155,33,100,147,187,105,30,54,10,78,28,M,actor
